Timestamp,No. pulses, No. Test,R,Succes,dt_Ron,Amp_RonR,q,E_memristor,State
1676389748.9436326, 0, 0, 1015.1287565271997,False, 0.015, 1.2, 0,0,R_off
1676389751.1563866, 1, 0, 2.4306554858937695,True, 0.015, 1.2, 0.002538083773354292,0.0009985217232412193,R_on
1676389753.292836, 0, 1, 1318.8579262662324,False, 0.015, 1.2, 0,0,R_off
1676389755.5009627, 1, 1, 2.579873300740665,True, 0.015, 1.2, 0.0025604949096827835,0.001001400344879953,R_on
1676389757.650743, 0, 2, 975.2654351987459,False, 0.015, 1.2, 0,0,R_off
1676389759.8640347, 1, 2, 2.766684960738166,True, 0.015, 1.2, 0.0025672634342782654,0.0009982389046682633,R_on
1676389762.012505, 0, 3, 1984.2982019366038,False, 0.015, 1.2, 0,0,R_off
1676389764.2274702, 1, 3, 3.2627314350522743,False, 0.015, 1.2, 0.0024879854640080254,0.0010303139084725903,Unknown
1676389766.4382048, 2, 3, 2.7600993559563434,True, 0.015, 1.2, 0.002613020308780197,0.0009813806678328637,R_on
1676389768.5957022, 0, 4, 1083.9523090991488,False, 0.015, 1.2, 0,0,R_off
1676389770.8250463, 1, 4, 3.2487798186640107,False, 0.015, 1.2, 0.002465732551086244,0.0010333559743305317,Unknown
1676389773.0341253, 2, 4, 3.1832740567157174,False, 0.015, 1.2, 0.002571217237072246,0.0010007425750523788,Unknown
1676389775.2408838, 3, 4, 2.785483916251901,True, 0.015, 1.2, 0.0025654520260592092,0.0009943485147603157,R_on
1676389777.39514, 0, 5, 1270.8700245842942,False, 0.015, 1.2, 0,0,R_off
1676389779.6122334, 1, 5, 3.4695656059708027,False, 0.015, 1.2, 0.002461911927550916,0.0010302071538800565,Unknown
1676389781.8219256, 2, 5, 2.8543415825562812,True, 0.015, 1.2, 0.002590446866033637,0.0009937703569300902,R_on
1676389783.9783337, 0, 6, 1267.886424386037,False, 0.015, 1.2, 0,0,R_off
1676389786.1839952, 1, 6, 4.200896256500093,False, 0.015, 1.2, 0.002493197721358434,0.0010282362076688848,Unknown
1676389788.3992312, 2, 6, 2.952371444554394,True, 0.015, 1.2, 0.002601005523544063,0.0009864399828460658,R_on
1676389790.554875, 0, 7, 964.296143013167,False, 0.015, 1.2, 0,0,R_off
1676389792.7717044, 1, 7, 3.8247720138021157,False, 0.015, 1.2, 0.002520373274496753,0.0010173025621794717,Unknown
1676389794.9789088, 2, 7, 2.9511313725440296,True, 0.015, 1.2, 0.002603907471408652,0.0009850512353538174,R_on
1676389797.1201549, 0, 8, 990.6254121417915,False, 0.015, 1.2, 0,0,R_off
1676389799.3273902, 1, 8, 3.7169232163680697,False, 0.015, 1.2, 0.002474675673915206,0.00102418525197147,Unknown
1676389801.539902, 2, 8, 2.85895408779374,True, 0.015, 1.2, 0.0025684602561237093,0.0009878800346114515,R_on
1676389803.6919167, 0, 9, 740.2959758227996,False, 0.015, 1.2, 0,0,R_off
1676389805.8967733, 1, 9, 4.23230898182687,False, 0.015, 1.2, 0.0024311985893293647,0.0010461251428727269,Unknown
1676389808.100243, 2, 9, 2.8422027900826468,True, 0.015, 1.2, 0.0025605422379753415,0.0010033113831921874,R_on
1676389810.2421055, 0, 10, 849.9813653450299,False, 0.015, 1.2, 0,0,R_off
1676389812.4506657, 1, 10, 5.042206029921344,False, 0.015, 1.2, 0.002382952684754627,0.0010595211122437697,Unknown
1676389814.6615648, 2, 10, 3.893161506827039,False, 0.015, 1.2, 0.002426984979994166,0.0010485122023885288,Unknown
1676389816.8722446, 3, 10, 3.6015862520661455,False, 0.015, 1.2, 0.0025266513587892405,0.0010138754285655247,Unknown
1676389819.086737, 4, 10, 2.992203598450242,True, 0.015, 1.2, 0.002569339368889036,0.001001214929705865,R_on
1676389821.237919, 0, 11, 585.5885112503927,False, 0.015, 1.2, 0,0,R_off
1676389823.4494443, 1, 11, 8.177576064329905,False, 0.015, 1.2, 0.002267085570619662,0.001094151091628452,Unknown
1676389825.663222, 2, 11, 3.2026509373732335,False, 0.015, 1.2, 0.0025054646654201593,0.0010171645104754524,Unknown
1676389827.8690891, 3, 11, 2.6960312588795348,True, 0.015, 1.2, 0.0025851747064311696,0.0009937364630040056,R_on
1676389830.0182965, 0, 12, 1024.679575621197,False, 0.015, 1.2, 0,0,R_off
1676389832.2223783, 1, 12, 2.4360210916423095,True, 0.015, 1.2, 0.0025629840400166375,0.0009955086885147122,R_on
1676389834.3773003, 0, 13, 1036.084017491405,False, 0.015, 1.2, 0,0,R_off
1676389836.5900288, 1, 13, 2.5460096586803522,True, 0.015, 1.2, 0.002536025738194802,0.0009989778801648102,R_on
1676389838.7430701, 0, 14, 620.688839035115,False, 0.015, 1.2, 0,0,R_off
1676389840.9697874, 1, 14, 2.3944028079144988,True, 0.015, 1.2, 0.002591101496307954,0.0009865448364866447,R_on
1676389843.1278708, 0, 15, 1234.6750266489598,False, 0.015, 1.2, 0,0,R_off
1676389845.3438687, 1, 15, 3.0736266968420356,False, 0.015, 1.2, 0.0024483816277398453,0.0010296346426394852,Unknown
1676389847.5470872, 2, 15, 2.5837403089104756,True, 0.015, 1.2, 0.0025878284335921565,0.0009848396178381924,R_on
1676389849.6967025, 0, 16, 973.3489111827188,False, 0.015, 1.2, 0,0,R_off
1676389851.9177182, 1, 16, 6.061130076982993,False, 0.015, 1.2, 0.0023284618632532076,0.0010698509554644153,Unknown
1676389854.1324122, 2, 16, 3.3262293183492653,False, 0.015, 1.2, 0.002527295891390545,0.0010155277831637205,Unknown
1676389856.3470614, 3, 16, 2.954079941902352,True, 0.015, 1.2, 0.0025651641651405818,0.0010017380980769084,R_on
1676389858.4973788, 0, 17, 761.9163678827738,False, 0.015, 1.2, 0,0,R_off
1676389860.7064297, 1, 17, 4.841639280102976,False, 0.015, 1.2, 0.002433887456824513,0.0010435712630049278,Unknown
1676389862.918932, 2, 17, 3.5478042158118086,False, 0.015, 1.2, 0.002499191077310001,0.0010198985170453844,Unknown
1676389865.1254313, 3, 17, 3.0388688345869594,False, 0.015, 1.2, 0.0025420938203623822,0.0010114647617913155,Unknown
1676389867.3384018, 4, 17, 2.8848066706736804,True, 0.015, 1.2, 0.0025586129591570477,0.0009971622895582764,R_on
1676389869.5013053, 0, 18, 774.801846962384,False, 0.015, 1.2, 0,0,R_off
1676389871.716594, 1, 18, 4.6091016778291936,False, 0.015, 1.2, 0.0023643685753720126,0.0010601762911142969,Unknown
1676389873.9375212, 2, 18, 3.6201729214099294,False, 0.015, 1.2, 0.002473473094153589,0.0010266803961694801,Unknown
1676389876.153476, 3, 18, 3.2321219178984735,False, 0.015, 1.2, 0.0024979939308227795,0.001018923503309821,Unknown
1676389878.3625147, 4, 18, 3.0205945176640854,False, 0.015, 1.2, 0.0025413557649329862,0.0010116431450009622,Unknown
1676389880.570856, 5, 18, 2.8316361568589086,True, 0.015, 1.2, 0.0025695458933712133,0.0010002456396417726,R_on
1676389882.7191603, 0, 19, 736.596028946152,False, 0.015, 1.2, 0,0,R_off
1676389884.9350095, 1, 19, 4.425057824432145,False, 0.015, 1.2, 0.0022225793832844165,0.0010914847443451413,Unknown
1676389887.1392317, 2, 19, 2.7975737924396573,True, 0.015, 1.2, 0.002499135154301716,0.0010253384799187595,R_on
1676389889.2817209, 0, 20, 563.4550869976168,False, 0.015, 1.2, 0,0,R_off
1676389891.5026326, 1, 20, 4.058776040943354,False, 0.015, 1.2, 0.00217892641301793,0.0010958109611962042,Unknown
1676389893.7091136, 2, 20, 2.9820323465845844,True, 0.015, 1.2, 0.002453858869556293,0.0010407942036306712,R_on
